d,c_d
4.11200916620819e28,9.04642016565801e28
6.77955697764134e28,1.49150253508109e29
1.11775997949607e29,2.45907195489136e29
1.84287465373252e29,4.05432423821154e29
3.03838664084293e29,6.68445060985445e29
5.00945268336885e29,1.10207959034115e30
8.25919119363607e29,1.81702206259993e30
1.36171041997270e30,2.99576292393993e30
2.24508093394299e30,4.93917805467458e30
3.70151269023511e30,8.14332791851725e30
6.10276270615709e30,1.34260779535456e31
1.00617546836767e31,2.21358603040887e31
1.65890289675444e31,3.64958637285976e31
2.73506849190510e31,6.01715068219122e31
4.50936559942566e31,9.92060431873644e31
7.43468698113651e31,1.63563113585003e32
1.22577265667971e32,2.69669984469536e32
2.02095745211044e32,4.44610639464297e32
3.33199553847442e32,7.33039018464373e32
5.49353191816070e32,1.20857702199536e33
9.05730292474163e32,1.99260664344316e33
1.49329679871960e33,3.28525295718312e33
2.46203019551741e33,5.41646643013831e33
4.05920155245555e33,8.93024341540222e33
6.69249194159245e33,1.47234822715034e34
1.10340538180927e34,2.42749183998039e34
1.81920792319394e34,4.00225743102666e34
2.99936679879605e34,6.59860695735131e34
4.94511983980680e34,1.08792636475750e35
8.15312426605068e34,1.79368733853115e35
1.34422294000991e35,2.95729046802181e35
2.21624895375740e35,4.87574769826629e35
3.65397679122674e35,8.03874894069882e35
6.02438925834012e35,1.32536563683483e36
9.93253871320273e35,2.18515851690460e36
1.63759878485098e36,3.60271732667216e36
2.69994394945650e36,5.93987668880429e36
4.45145501916704e36,9.79320104216748e36
7.33920857566554e36,1.61462588664642e37
1.21003092888046e37,2.66206804353701e37
1.99500373065024e37,4.38900820743054e37
3.28920508584917e37,7.23625118886816e37
5.42298238873456e37,1.19305612552160e38
8.94098641493886e37,1.96701701128655e38
1.47411944833506e38,3.24306278633713e38
2.43041209002275e38,5.34690659805005e38
4.00707210938726e38,8.81555864065197e38
6.60654501997601e38,1.45343990439472e39
1.08923513002724e39,2.39631728605994e39
1.79584512766974e39,3.95085928087342e39
2.96084806087228e39,6.51386573391903e39
4.88161317727136e39,1.07395489899970e40
8.04841948069733e39,1.77065228575341e40
1.32696003933430e40,2.91931208653545e40
2.18778724221953e40,4.81313193288298e40
3.60705136201372e40,7.93551299643018e40
5.94702230505989e40,1.30834490711318e41
9.80498217168034e40,2.15709607776968e41
1.61656826652849e41,3.55645018636268e41
2.66527048656436e41,5.86359507044159e41
4.39428814336794e41,9.66743391540946e41
7.24495633155609e41,1.59389039294234e42
1.19449136091301e42,2.62788099400862e42
1.96938331440482e42,4.33264329169061e42
3.24696416062115e42,7.14332115336653e42
5.35333887681708e42,1.17773455289976e43
8.82616367547425e42,1.94175600860434e43
1.45518837904352e43,3.20141443389575e43
2.39920003340469e43,5.27824007349033e43
3.95561212773878e43,8.70234668102531e43
6.52170185364232e43,1.43477440780131e44
1.07524685672645e44,2.36554308479820e44
1.77278236393836e44,3.90012120066439e44
2.92282399174723e44,6.43021278184390e44
4.81892208570631e44,1.06016285885539e45
7.94505934455062e44,1.74791305580114e45
1.30991883383354e45,2.88182143443379e45
2.15969104423207e45,4.75132029731055e45
3.56072856276598e45,7.83360283808516e45
5.87064892062177e45,1.29154276253679e46
9.67906374824186e45,2.12939402461321e46
1.59580782821889e46,3.51077722208155e46
2.63104231033425e46,5.78829308273536e46
4.33785542116009e46,9.54328192655220e46
7.15191450208851e46,1.57342119045947e47
1.17915135658220e47,2.59413298448085e47
1.94409192297199e47,4.27700223053838e47
3.20526570560024e47,7.05158455232052e47
5.28458974706876e47,1.16260974435513e48
8.71281552291608e47,1.91681941504154e48
1.43650042803180e48,3.16030094166996e48
2.36838881106587e48,5.21045538434491e48
3.90481301009248e48,8.59058862220346e48
6.43794826784607e48,1.41634861892614e49
1.06143822488649e49,2.33516409475027e49
1.75001577890454e49,3.85003471358998e49
2.88528823874076e49,6.34763412522968e49
4.75703609131280e49,1.04654794008882e50
7.84302658923562e49,1.72546584963184e50
1.29309647643394e50,2.84481224815468e50
2.13195566576403e50,4.69030246468087e50
3.51500065433481e50,7.73300143953658e50
5.79525634532667e50,1.27495639597187e51
9.55476240569997e50,2.10204772925399e51
1.57531400147635e51,3.46569080324796e51
2.59725370226578e51,5.71395814498473e51
4.28214742433026e51,9.42072433352657e51
7.06006754276706e51,1.55321485940875e52
1.16400835303396e52,2.56081837667472e52
1.91912533091972e52,4.22207572802339e52
3.16410275422677e52,6.96102605929889e52
5.21672351357453e52,1.14767917298640e53
8.60092302019183e52,1.89220306444220e53
1.41805247310447e53,3.11971544082983e53
2.33797327537626e53,5.14354120582776e53
3.85466626944128e53,8.48026579277082e53
6.35527026987815e53,1.39815945937319e54
1.04780692749963e54,2.30517524049918e54
1.72754156895558e54,3.80059145170227e54
2.84823453075574e54,6.26611596766262e54
4.69594485479958e54,1.03310786805591e55
7.74230416814289e54,1.70330691699144e55
1.27649015662474e55,2.80827834457444e55
2.10457647306655e55,4.63006824074642e55
3.46985999695988e55,7.63369199331174e55
5.72083198333924e55,1.25858303633463e56
9.43205737703301e55,2.07505262294726e56
1.55508336239784e56,3.42118339727524e56
2.56389901729719e56,5.64057783805382e56
4.22715484574503e56,9.29974066063908e56
6.96940010872296e56,1.53326802391905e57
1.14905982032713e57,2.52793160471969e57
1.89447936708021e57,4.16785460757647e57
3.12346842940766e57,6.87163054469685e57
5.14972883792473e57,1.13294034434344e58
8.49046747342436e57,1.86790284415336e58
1.39984143216223e58,3.07965115075691e58
2.30794834481320e58,5.07748635858904e58
3.80516352777068e58,8.37135976109549e58
6.27365404672786e58,1.38020389028013e59
1.03435068718542e59,2.27557151180791e59
1.70535597932589e59,3.75178315451695e59
2.81165667723024e59,6.18564468990653e59
4.63563816965554e59,1.01984039732422e60
7.64287525358050e59,1.68143255578771e60
1.26009709998858e60,2.77221361997488e60
2.07754889189872e60,4.57060756217718e60
3.42529904899290e60,7.53565790778438e60
5.64736340058351e60,1.24241994812837e61
9.31092816191545e60,2.04840419562140e61
1.53511253105108e61,3.37724756831239e61
2.53097268286223e61,5.56813990229692e61
4.17286849779594e61,9.18031069515106e61
6.87989705215065e61,1.51357735147314e62
1.13430326101079e62,2.49546717422373e62
1.87014991385301e62,4.11432981047661e62
3.08335594236746e62,6.78338307320842e62
5.08359452732088e62,1.11839079601059e63
8.38143042880869e62,1.84391469433791e63
1.38186426268702e63,3.04010137791144e63
2.27830900311244e63,5.01227980684736e63
3.75629651465908e63,8.26385233224997e63
6.19308596277518e63,1.36247891181054e64
1.02106725581018e64,2.24634796278240e64
1.68345530346966e64,3.70360166763324e64
2.77554856710336e64,6.10620684762740e64
4.57610596044457e64,1.00674331129781e65
7.54472323396261e64,1.65983911147177e65
1.24391456773796e65,2.73661204902351e65
2.05086840676333e65,4.51191049487933e65
3.38131036563759e65,7.43888280440269e65
5.57483832266552e65,1.22646443098641e66
9.19135452329286e65,2.02209799512443e66
1.51539817090988e66,3.33387597600173e66
2.49846919795918e66,5.49663223551021e66
4.11927931086440e66,9.06241448390167e66
6.79154341977710e66,1.49413955235096e67
1.11973620970700e67,2.46341966135540e67
1.84613290651707e67,4.06149239433755e67
3.04375859151414e67,6.69626890133111e67
5.01830953270563e67,1.10402809719524e68
8.27379366952899e67,1.82023460729638e68
1.36411796123365e68,3.00105951471403e68
2.24905029843001e68,4.94791065654603e68
3.70805706589603e68,8.15772554497128e68
6.11355255751270e68,1.34498156265279e69
1.00795441411144e69,2.21749971104516e69
1.66183588244161e69,3.65603894137154e69
2.73990416779420e69,6.02778916914724e69
4.51733828112223e69,9.93814421846890e69
7.44783171103417e69,1.63852297642752e70
1.22793985625770e70,2.70146768376693e70
2.02453056015252e70,4.45396723233555e70
3.33788659770591e70,7.34335051495300e70
5.50324463282261e70,1.21071381922098e71
9.07331648400096e70,1.99612962648021e71
1.49593698829665e71,3.29106137425263e71
2.46638313223177e71,5.42604289090990e71
